year,county_name,urbanicity,region,division,pop_category,population,prison_population
1998,Plumas County,rural,West,Pacific,Other,NA,2
1999,Plumas County,rural,West,Pacific,Other,NA,4
2000,Plumas County,rural,West,Pacific,Other,NA,2
2001,Plumas County,rural,West,Pacific,Other,NA,5
2002,Plumas County,rural,West,Pacific,Other,NA,4
2003,Plumas County,rural,West,Pacific,Other,NA,5
2004,Plumas County,rural,West,Pacific,Other,NA,3
2005,Plumas County,rural,West,Pacific,Other,NA,6
2006,Plumas County,rural,West,Pacific,Other,NA,4
2007,Plumas County,rural,West,Pacific,Other,NA,6
2008,Plumas County,rural,West,Pacific,Other,NA,6
2009,Plumas County,rural,West,Pacific,Other,NA,4
2010,Plumas County,rural,West,Pacific,Other,NA,2
2011,Plumas County,rural,West,Pacific,Other,NA,3
2012,Plumas County,rural,West,Pacific,Other,NA,6
2013,Plumas County,rural,West,Pacific,Other,NA,6
2014,Plumas County,rural,West,Pacific,Other,NA,7
2015,Plumas County,rural,West,Pacific,Other,NA,3
2016,Plumas County,rural,West,Pacific,Other,NA,NA
1970,Riverside County,urban,West,Pacific,Other,4909,NA
1971,Riverside County,urban,West,Pacific,Other,5376,NA
1972,Riverside County,urban,West,Pacific,Other,5888,NA
1973,Riverside County,urban,West,Pacific,Other,6271,NA
1974,Riverside County,urban,West,Pacific,Other,6863,NA
1975,Riverside County,urban,West,Pacific,Other,7416,NA
1976,Riverside County,urban,West,Pacific,Other,8084,NA
1977,Riverside County,urban,West,Pacific,Other,8954,NA
1978,Riverside County,urban,West,Pacific,Other,9957,NA
1979,Riverside County,urban,West,Pacific,Other,10885,NA
1980,Riverside County,urban,West,Pacific,Other,13239,NA
1981,Riverside County,urban,West,Pacific,Other,15195,NA
1982,Riverside County,urban,West,Pacific,Other,17063,NA
1983,Riverside County,urban,West,Pacific,Other,18720,28
1984,Riverside County,urban,West,Pacific,Other,20723,33
1985,Riverside County,urban,West,Pacific,Other,22932,41
1986,Riverside County,urban,West,Pacific,Other,25263,57
1987,Riverside County,urban,West,Pacific,Other,28052,69
1988,Riverside County,urban,West,Pacific,Other,31159,74
1989,Riverside County,urban,West,Pacific,Other,35151,NA
1990,Riverside County,urban,West,Pacific,Other,NA,NA
1991,Riverside County,urban,West,Pacific,Other,NA,101
1992,Riverside County,urban,West,Pacific,Other,NA,120
1993,Riverside County,urban,West,Pacific,Other,NA,171
1994,Riverside County,urban,West,Pacific,Other,NA,307
1995,Riverside County,urban,West,Pacific,Other,NA,699
1996,Riverside County,urban,West,Pacific,Other,NA,940
1997,Riverside County,urban,West,Pacific,Other,NA,1270
1998,Riverside County,urban,West,Pacific,Other,NA,1105
1999,Riverside County,urban,West,Pacific,Other,NA,256
2000,Riverside County,urban,West,Pacific,Other,NA,254
2001,Riverside County,urban,West,Pacific,Other,NA,254
2002,Riverside County,urban,West,Pacific,Other,NA,265
2003,Riverside County,urban,West,Pacific,Other,NA,268
2004,Riverside County,urban,West,Pacific,Other,NA,288
2005,Riverside County,urban,West,Pacific,Other,NA,287
2006,Riverside County,urban,West,Pacific,Other,NA,303
2007,Riverside County,urban,West,Pacific,Other,NA,292
2008,Riverside County,urban,West,Pacific,Other,NA,291
2009,Riverside County,urban,West,Pacific,Other,NA,284
2010,Riverside County,urban,West,Pacific,Other,NA,294
2011,Riverside County,urban,West,Pacific,Other,NA,296
2012,Riverside County,urban,West,Pacific,Other,NA,281
2013,Riverside County,urban,West,Pacific,Other,NA,268
2014,Riverside County,urban,West,Pacific,Other,NA,272
2015,Riverside County,urban,West,Pacific,Other,NA,267
2016,Riverside County,urban,West,Pacific,Other,NA,NA
1970,Sacramento County,urban,West,Pacific,Other,17533,NA
1971,Sacramento County,urban,West,Pacific,Other,19070,NA
1972,Sacramento County,urban,West,Pacific,Other,20730,NA
1973,Sacramento County,urban,West,Pacific,Other,21930,NA
1974,Sacramento County,urban,West,Pacific,Other,23504,NA
1975,Sacramento County,urban,West,Pacific,Other,25184,NA
1976,Sacramento County,urban,West,Pacific,Other,26944,NA
1977,Sacramento County,urban,West,Pacific,Other,28807,NA
1978,Sacramento County,urban,West,Pacific,Other,30900,NA
1979,Sacramento County,urban,West,Pacific,Other,33035,NA
1980,Sacramento County,urban,West,Pacific,Other,36759,NA
1981,Sacramento County,urban,West,Pacific,Other,39858,NA
1982,Sacramento County,urban,West,Pacific,Other,43239,NA
1983,Sacramento County,urban,West,Pacific,Other,45993,46
1984,Sacramento County,urban,West,Pacific,Other,48911,54
1985,Sacramento County,urban,West,Pacific,Other,52161,63
1986,Sacramento County,urban,West,Pacific,Other,55709,68
1987,Sacramento County,urban,West,Pacific,Other,59805,87
1988,Sacramento County,urban,West,Pacific,Other,63948,116
1989,Sacramento County,urban,West,Pacific,Other,68219,123
1990,Sacramento County,urban,West,Pacific,Other,NA,130
1991,Sacramento County,urban,West,Pacific,Other,NA,137
1992,Sacramento County,urban,West,Pacific,Other,NA,229
1993,Sacramento County,urban,West,Pacific,Other,NA,386
1994,Sacramento County,urban,West,Pacific,Other,NA,489
1995,Sacramento County,urban,West,Pacific,Other,NA,594
1996,Sacramento County,urban,West,Pacific,Other,NA,670
1997,Sacramento County,urban,West,Pacific,Other,NA,713
1998,Sacramento County,urban,West,Pacific,Other,NA,700
1999,Sacramento County,urban,West,Pacific,Other,NA,310
2000,Sacramento County,urban,West,Pacific,Other,NA,316
2001,Sacramento County,urban,West,Pacific,Other,NA,296
2002,Sacramento County,urban,West,Pacific,Other,NA,305
2003,Sacramento County,urban,West,Pacific,Other,NA,308
2004,Sacramento County,urban,West,Pacific,Other,NA,349
2005,Sacramento County,urban,West,Pacific,Other,NA,388
2006,Sacramento County,urban,West,Pacific,Other,NA,428
2007,Sacramento County,urban,West,Pacific,Other,NA,459
2008,Sacramento County,urban,West,Pacific,Other,NA,529
2009,Sacramento County,urban,West,Pacific,Other,NA,559
2010,Sacramento County,urban,West,Pacific,Other,NA,593
2011,Sacramento County,urban,West,Pacific,Other,NA,567
2012,Sacramento County,urban,West,Pacific,Other,NA,506
2013,Sacramento County,urban,West,Pacific,Other,NA,626
2014,Sacramento County,urban,West,Pacific,Other,NA,596
2015,Sacramento County,urban,West,Pacific,Other,NA,559
2016,Sacramento County,urban,West,Pacific,Other,NA,NA
1970,San Benito County,suburban,West,Pacific,Other,270,NA
1971,San Benito County,suburban,West,Pacific,Other,283,NA
1972,San Benito County,suburban,West,Pacific,Other,294,NA
1973,San Benito County,suburban,West,Pacific,Other,306,NA
1974,San Benito County,suburban,West,Pacific,Other,318,NA
1975,San Benito County,suburban,West,Pacific,Other,329,NA
1976,San Benito County,suburban,West,Pacific,Other,347,NA
1977,San Benito County,suburban,West,Pacific,Other,371,NA
1978,San Benito County,suburban,West,Pacific,Other,391,NA
1979,San Benito County,suburban,West,Pacific,Other,408,NA
1980,San Benito County,suburban,West,Pacific,Other,472,NA
1981,San Benito County,suburban,West,Pacific,Other,507,NA
1982,San Benito County,suburban,West,Pacific,Other,545,NA
1983,San Benito County,suburban,West,Pacific,Other,574,0
1984,San Benito County,suburban,West,Pacific,Other,620,0
1985,San Benito County,suburban,West,Pacific,Other,669,1
1986,San Benito County,suburban,West,Pacific,Other,716,1
1987,San Benito County,suburban,West,Pacific,Other,764,1
1988,San Benito County,suburban,West,Pacific,Other,823,2
1989,San Benito County,suburban,West,Pacific,Other,875,2
1990,San Benito County,suburban,West,Pacific,Other,NA,2
1991,San Benito County,suburban,West,Pacific,Other,NA,2
1992,San Benito County,suburban,West,Pacific,Other,NA,4
1993,San Benito County,suburban,West,Pacific,Other,NA,13
1994,San Benito County,suburban,West,Pacific,Other,NA,14
1995,San Benito County,suburban,West,Pacific,Other,NA,11
1996,San Benito County,suburban,West,Pacific,Other,NA,36
1997,San Benito County,suburban,West,Pacific,Other,NA,27
1998,San Benito County,suburban,West,Pacific,Other,NA,30
1999,San Benito County,suburban,West,Pacific,Other,NA,8
2000,San Benito County,suburban,West,Pacific,Other,NA,7
2001,San Benito County,suburban,West,Pacific,Other,NA,9
2002,San Benito County,suburban,West,Pacific,Other,NA,6
2003,San Benito County,suburban,West,Pacific,Other,NA,6
2004,San Benito County,suburban,West,Pacific,Other,NA,6
2005,San Benito County,suburban,West,Pacific,Other,NA,2
2006,San Benito County,suburban,West,Pacific,Other,NA,7
2007,San Benito County,suburban,West,Pacific,Other,NA,6
2008,San Benito County,suburban,West,Pacific,Other,NA,6
2009,San Benito County,suburban,West,Pacific,Other,NA,8
2010,San Benito County,suburban,West,Pacific,Other,NA,5
2011,San Benito County,suburban,West,Pacific,Other,NA,7
2012,San Benito County,suburban,West,Pacific,Other,NA,5
2013,San Benito County,suburban,West,Pacific,Other,NA,4
2014,San Benito County,suburban,West,Pacific,Other,NA,5
2015,San Benito County,suburban,West,Pacific,Other,NA,6
2016,San Benito County,suburban,West,Pacific,Other,NA,NA
1970,San Bernardino County,suburban,West,Pacific,Other,5956,NA
1971,San Bernardino County,suburban,West,Pacific,Other,6697,NA
1972,San Bernardino County,suburban,West,Pacific,Other,7447,NA
1973,San Bernardino County,suburban,West,Pacific,Other,8309,NA
1974,San Bernardino County,suburban,West,Pacific,Other,9253,NA
1975,San Bernardino County,suburban,West,Pacific,Other,10225,NA
1976,San Bernardino County,suburban,West,Pacific,Other,11287,NA
1977,San Bernardino County,suburban,West,Pacific,Other,12777,NA
1978,San Bernardino County,suburban,West,Pacific,Other,14776,NA
1979,San Bernardino County,suburban,West,Pacific,Other,16451,NA
1980,San Bernardino County,suburban,West,Pacific,Other,19809,NA
1981,San Bernardino County,suburban,West,Pacific,Other,22570,NA
1982,San Bernardino County,suburban,West,Pacific,Other,25263,NA
1983,San Bernardino County,suburban,West,Pacific,Other,27574,17
1984,San Bernardino County,suburban,West,Pacific,Other,30091,30
1985,San Bernardino County,suburban,West,Pacific,Other,33023,38
1986,San Bernardino County,suburban,West,Pacific,Other,36260,57
1987,San Bernardino County,suburban,West,Pacific,Other,40095,58
1988,San Bernardino County,suburban,West,Pacific,Other,44479,80
1989,San Bernardino County,suburban,West,Pacific,Other,49170,NA
1990,San Bernardino County,suburban,West,Pacific,Other,NA,NA
1991,San Bernardino County,suburban,West,Pacific,Other,NA,105
1992,San Bernardino County,suburban,West,Pacific,Other,NA,125
1993,San Bernardino County,suburban,West,Pacific,Other,NA,158
1994,San Bernardino County,suburban,West,Pacific,Other,NA,245
1995,San Bernardino County,suburban,West,Pacific,Other,NA,614
1996,San Bernardino County,suburban,West,Pacific,Other,NA,988
1997,San Bernardino County,suburban,West,Pacific,Other,NA,1323
1998,San Bernardino County,suburban,West,Pacific,Other,NA,1182
1999,San Bernardino County,suburban,West,Pacific,Other,NA,240
2000,San Bernardino County,suburban,West,Pacific,Other,NA,234
2001,San Bernardino County,suburban,West,Pacific,Other,NA,235
2002,San Bernardino County,suburban,West,Pacific,Other,NA,245
2003,San Bernardino County,suburban,West,Pacific,Other,NA,262
2004,San Bernardino County,suburban,West,Pacific,Other,NA,264
2005,San Bernardino County,suburban,West,Pacific,Other,NA,287
2006,San Bernardino County,suburban,West,Pacific,Other,NA,273
2007,San Bernardino County,suburban,West,Pacific,Other,NA,277
2008,San Bernardino County,suburban,West,Pacific,Other,NA,273
2009,San Bernardino County,suburban,West,Pacific,Other,NA,284
2010,San Bernardino County,suburban,West,Pacific,Other,NA,281
2011,San Bernardino County,suburban,West,Pacific,Other,NA,262
2012,San Bernardino County,suburban,West,Pacific,Other,NA,282
2013,San Bernardino County,suburban,West,Pacific,Other,NA,468
2014,San Bernardino County,suburban,West,Pacific,Other,NA,398
2015,San Bernardino County,suburban,West,Pacific,Other,NA,356
2016,San Bernardino County,suburban,West,Pacific,Other,NA,NA
1970,San Diego County,urban,West,Pacific,Other,24830,NA
1971,San Diego County,urban,West,Pacific,Other,27984,NA
1972,San Diego County,urban,West,Pacific,Other,31716,NA
1973,San Diego County,urban,West,Pacific,Other,36316,NA
1974,San Diego County,urban,West,Pacific,Other,40726,NA
1975,San Diego County,urban,West,Pacific,Other,46471,NA
1976,San Diego County,urban,West,Pacific,Other,50876,NA
1977,San Diego County,urban,West,Pacific,Other,57167,NA
1978,San Diego County,urban,West,Pacific,Other,63259,NA
1979,San Diego County,urban,West,Pacific,Other,69411,NA
1980,San Diego County,urban,West,Pacific,Other,77936,NA
1981,San Diego County,urban,West,Pacific,Other,85352,NA
1982,San Diego County,urban,West,Pacific,Other,92271,NA
1983,San Diego County,urban,West,Pacific,Other,98384,54
1984,San Diego County,urban,West,Pacific,Other,105345,100
1985,San Diego County,urban,West,Pacific,Other,113081,121
1986,San Diego County,urban,West,Pacific,Other,121652,160
1987,San Diego County,urban,West,Pacific,Other,130901,173
1988,San Diego County,urban,West,Pacific,Other,141195,226
1989,San Diego County,urban,West,Pacific,Other,151486,NA
1990,San Diego County,urban,West,Pacific,Other,NA,NA
1991,San Diego County,urban,West,Pacific,Other,NA,321
1992,San Diego County,urban,West,Pacific,Other,NA,390
1993,San Diego County,urban,West,Pacific,Other,NA,453
1994,San Diego County,urban,West,Pacific,Other,NA,529
1995,San Diego County,urban,West,Pacific,Other,NA,647
1996,San Diego County,urban,West,Pacific,Other,NA,838
1997,San Diego County,urban,West,Pacific,Other,NA,942
1998,San Diego County,urban,West,Pacific,Other,NA,963
1999,San Diego County,urban,West,Pacific,Other,NA,592
2000,San Diego County,urban,West,Pacific,Other,NA,558
2001,San Diego County,urban,West,Pacific,Other,NA,591
2002,San Diego County,urban,West,Pacific,Other,NA,585
2003,San Diego County,urban,West,Pacific,Other,NA,641
2004,San Diego County,urban,West,Pacific,Other,NA,623
2005,San Diego County,urban,West,Pacific,Other,NA,678
2006,San Diego County,urban,West,Pacific,Other,NA,699
2007,San Diego County,urban,West,Pacific,Other,NA,697
2008,San Diego County,urban,West,Pacific,Other,NA,682
2009,San Diego County,urban,West,Pacific,Other,NA,703
2010,San Diego County,urban,West,Pacific,Other,NA,707
2011,San Diego County,urban,West,Pacific,Other,NA,663
2012,San Diego County,urban,West,Pacific,Other,NA,569
2013,San Diego County,urban,West,Pacific,Other,NA,525
2014,San Diego County,urban,West,Pacific,Other,NA,497
2015,San Diego County,urban,West,Pacific,Other,NA,416
2016,San Diego County,urban,West,Pacific,Other,NA,NA
1970,San Francisco County,urban,West,Pacific,Other,70231,NA
1971,San Francisco County,urban,West,Pacific,Other,72850,NA
1972,San Francisco County,urban,West,Pacific,Other,75580,NA
1973,San Francisco County,urban,West,Pacific,Other,79529,NA
1974,San Francisco County,urban,West,Pacific,Other,83339,NA
1975,San Francisco County,urban,West,Pacific,Other,85914,NA
1976,San Francisco County,urban,West,Pacific,Other,90376,NA
1977,San Francisco County,urban,West,Pacific,Other,94100,NA
1978,San Francisco County,urban,West,Pacific,Other,98464,NA
1979,San Francisco County,urban,West,Pacific,Other,103017,NA
1980,San Francisco County,urban,West,Pacific,Other,109190,NA
1981,San Francisco County,urban,West,Pacific,Other,113572,NA
1982,San Francisco County,urban,West,Pacific,Other,118117,NA
1983,San Francisco County,urban,West,Pacific,Other,122194,116
1984,San Francisco County,urban,West,Pacific,Other,126985,118
1985,San Francisco County,urban,West,Pacific,Other,133284,139
1986,San Francisco County,urban,West,Pacific,Other,138904,159
1987,San Francisco County,urban,West,Pacific,Other,142782,176
1988,San Francisco County,urban,West,Pacific,Other,145858,183
1989,San Francisco County,urban,West,Pacific,Other,149441,NA
1990,San Francisco County,urban,West,Pacific,Other,NA,NA
1991,San Francisco County,urban,West,Pacific,Other,NA,241
1992,San Francisco County,urban,West,Pacific,Other,NA,230
1993,San Francisco County,urban,West,Pacific,Other,NA,295
1994,San Francisco County,urban,West,Pacific,Other,NA,338
1995,San Francisco County,urban,West,Pacific,Other,NA,315
1996,San Francisco County,urban,West,Pacific,Other,NA,266
1997,San Francisco County,urban,West,Pacific,Other,NA,237
1998,San Francisco County,urban,West,Pacific,Other,NA,205
1999,San Francisco County,urban,West,Pacific,Other,NA,111
2000,San Francisco County,urban,West,Pacific,Other,NA,108
2001,San Francisco County,urban,West,Pacific,Other,NA,103
2002,San Francisco County,urban,West,Pacific,Other,NA,98
2003,San Francisco County,urban,West,Pacific,Other,NA,92
2004,San Francisco County,urban,West,Pacific,Other,NA,104
2005,San Francisco County,urban,West,Pacific,Other,NA,98
2006,San Francisco County,urban,West,Pacific,Other,NA,113
2007,San Francisco County,urban,West,Pacific,Other,NA,102
2008,San Francisco County,urban,West,Pacific,Other,NA,106
2009,San Francisco County,urban,West,Pacific,Other,NA,108
2010,San Francisco County,urban,West,Pacific,Other,NA,101
2011,San Francisco County,urban,West,Pacific,Other,NA,103
2012,San Francisco County,urban,West,Pacific,Other,NA,93
2013,San Francisco County,urban,West,Pacific,Other,NA,83
2014,San Francisco County,urban,West,Pacific,Other,NA,75
2015,San Francisco County,urban,West,Pacific,Other,NA,65
2016,San Francisco County,urban,West,Pacific,Other,NA,NA
1970,San Joaquin County,small/mid,West,Pacific,Other,10474,NA
1971,San Joaquin County,small/mid,West,Pacific,Other,10825,NA
1972,San Joaquin County,small/mid,West,Pacific,Other,11239,NA
1973,San Joaquin County,small/mid,West,Pacific,Other,11664,NA
1974,San Joaquin County,small/mid,West,Pacific,Other,12025,NA
1975,San Joaquin County,small/mid,West,Pacific,Other,12449,NA
1976,San Joaquin County,small/mid,West,Pacific,Other,13109,NA
1977,San Joaquin County,small/mid,West,Pacific,Other,13548,NA
1978,San Joaquin County,small/mid,West,Pacific,Other,14401,NA
1979,San Joaquin County,small/mid,West,Pacific,Other,14977,NA
1980,San Joaquin County,small/mid,West,Pacific,Other,17309,NA
1981,San Joaquin County,small/mid,West,Pacific,Other,19238,NA
1982,San Joaquin County,small/mid,West,Pacific,Other,21142,NA
1983,San Joaquin County,small/mid,West,Pacific,Other,22881,12
1984,San Joaquin County,small/mid,West,Pacific,Other,24855,17
1985,San Joaquin County,small/mid,West,Pacific,Other,27161,30
1986,San Joaquin County,small/mid,West,Pacific,Other,29374,29
